,artist,screen_name,hotttnesss,num_tweets,recommendations,scores
49,The Lumineers,thelumineers,0.836348,200,"[u'The Lumineers', u'Selena Gomez', u'Massive Attack', u'Trina', u'Tame Impala']",[ 0.          1.16449076  1.18263613  1.20230869  1.20367898]
50,Chris Brown,chrisbrown,0.835919,200,"[u'Chris Brown', u'Kid Ink', u'Selena Gomez', u'Massive Attack', u'Trina']",[ 0.          1.07993687  1.17238634  1.18497523  1.19807461]
51,will.i.am,iamwill,0.834285,200,"[u'will.i.am', u'Britney Spears', u'Fergie', u'Sia', u'Selena Gomez']","[  5.96046448e-08   1.21765351e+00   1.26584642e+00   1.30118093e+00
   1.30390380e+00]"
52,CHVRCHES,CHVRCHES,0.833085,199,"[u'CHVRCHES', u'Selena Gomez', u'Massive Attack', u'Trina', u'The Cranberries']","[  1.82501207e-08   1.22155996e+00   1.23351674e+00   1.24895662e+00
   1.25083623e+00]"
53,Metallica,Metallica,0.832087,199,"[u'Metallica', u'Massive Attack', u'Selena Gomez', u'Rise Against', u'Lou Reed']",[ 0.          1.32807099  1.33210798  1.33731942  1.33910002]
54,Jessie J,JessieJ,0.828534,200,"[u'Jessie J', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']","[  9.18569267e-08   1.24879598e+00   1.25664878e+00   1.27121014e+00
   1.27798088e+00]"
55,Sean Paul,duttypaul,0.828472,198,"[u'Sean Paul', u'Nicki Minaj', u'James Blake', u'Selena Gomez', u'The Band Perry']",[ 0.          1.36715598  1.36758718  1.37243911  1.3729829 ]
56,Fall Out Boy,falloutboy,0.828321,199,"[u'Fall Out Boy', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']",[ 0.          1.15446668  1.16706254  1.19339418  1.19793936]
57,Panic! At the Disco,PanicAtTheDisco,0.827717,199,"[u'Panic! At the Disco', u'Selena Gomez', u'Massive Attack', u'Travie McCoy', u'The Cranberries']","[  2.98023224e-08   1.20240867e+00   1.21528165e+00   1.22326462e+00
   1.22642828e+00]"
58,John Legend,johnlegend,0.827702,199,"[u'John Legend', u'Selena Gomez', u'Massive Attack', u'Trina', u'Maya Jane Coles']",[ 0.          1.20778554  1.21887945  1.23370525  1.24230291]
59,Jay-Z,S_C_,0.827281,200,"[u'Jay-Z', u'Nicki Minaj', u'Lorde', u'P!nk', u'Kendrick Lamar']","[  2.58095683e-08   1.34518718e+00   1.35392189e+00   1.35461506e+00
   1.35596238e+00]"
60,Cher,cher,0.826867,200,"[u'Cher', u'Lorde', u'Craig Campbell', u'for King & Country', u'Ariana Grande']",[ 0.          1.32373765  1.3439254   1.3520532   1.35208081]
61,Romeo Santos,RomeoSantosPage,0.824883,199,"[u'Romeo Santos', u'Aventura', u'Noel Torres', u'No te va Gustar', u'Vicente Fern\xe1ndez']","[  2.10734243e-08   7.74800109e-01   1.31782680e+00   1.31963498e+00
   1.32344804e+00]"
62,The Wanted,thewanted,0.82462,199,"[u'The Wanted', u'Selena Gomez', u'Boy George', u'Massive Attack', u'Lykke Li']",[ 0.          1.30409677  1.31100911  1.3131763   1.31888708]
63,Ariana Grande,ArianaGrande,0.824537,200,"[u'Ariana Grande', u'Selena Gomez', u'Massive Attack', u'Trina', u'Big Sean']","[  2.10734243e-08   1.20483812e+00   1.23579596e+00   1.23889091e+00
   1.23927224e+00]"
64,Florida Georgia Line,FLAGALine,0.824472,200,"[u'Florida Georgia Line', u'Selena Gomez', u'Massive Attack', u'Trina', u'Big Daddy Weave']","[  4.47034836e-08   1.11214120e+00   1.12971162e+00   1.15823050e+00
   1.16316424e+00]"
65,Daddy Yankee,daddy_yankee,0.824196,198,"[u'Daddy Yankee', u'Alejandro Sanz', u'Espinoza Paz', u'Reik', u'Marco Antonio Sol\xeds']",[ 0.          1.18021409  1.180599    1.19810699  1.20447934]
66,Kendrick Lamar,kendricklamar,0.82397,200,"[u'Kendrick Lamar', u'Schoolboy Q', u'Selena Gomez', u'Massive Attack', u'Tame Impala']",[ 0.          0.99679452  1.27686296  1.28031165  1.29370286]
67,Depeche Mode,depechemode,0.82226,200,"[u'Depeche Mode', u'Selena Gomez', u'Massive Attack', u'Booka Shade', u'The Cranberries']",[ 0.          1.26206767  1.26675548  1.26691711  1.26813383]
68,The Neighbourhood,thenbhd,0.821299,197,"[u'The Neighbourhood', u'Selena Gomez', u'Massive Attack', u'Trina', u'The Cranberries']","[  5.86659303e-08   1.28172384e+00   1.29066868e+00   1.29701462e+00
   1.29906886e+00]"
69,Macklemore,macklemore,0.820942,200,"[u'Macklemore', u'Selena Gomez', u'Massive Attack', u'Trina', u'Tame Impala']","[  2.35608046e-08   1.20677210e+00   1.22145592e+00   1.23444764e+00
   1.24059847e+00]"
70,La Oreja de Van Gogh,laorejadevgogh,0.820514,200,"[u'La Oreja de Van Gogh', u'No te va Gustar', u'Alejandro Sanz', u'Reik', u'Dani Mart\xedn']","[  1.49011612e-08   9.64303454e-01   9.76694054e-01   9.77934057e-01
   1.00783458e+00]"
71,Blake Shelton,blakeshelton,0.819392,200,"[u'Blake Shelton', u'Miranda Lambert', u'Christina Aguilera', u'Kelly Clarkson', u'Booka Shade']","[  6.32202728e-08   1.08497006e+00   1.25724564e+00   1.30691198e+00
   1.30870162e+00]"
72,Chase & Status,chaseandstatus,0.819305,200,"[u'Chase & Status', u'Selena Gomez', u'Sub Focus', u'Massive Attack', u'Maya Jane Coles']","[  2.58095683e-08   1.24042560e+00   1.24710040e+00   1.24750054e+00
   1.26227117e+00]"
73,The Killers,thekillers,0.81833,198,"[u'The Killers', u'Selena Gomez', u'Lou Reed', u'Massive Attack', u'Mumford and Sons']",[ 0.          1.27595517  1.27813531  1.2824729   1.28895707]
74,Rudimental,RudimentalUk,0.818212,200,"[u'Rudimental', u'John Newman', u'Selena Gomez', u'James Blake', u'Massive Attack']","[  7.37569849e-08   1.17627441e+00   1.22836771e+00   1.23693270e+00
   1.23924533e+00]"
75,Michael Jackson,michaeljackson,0.817399,200,"[u'Michael Jackson', u'Michael Bubl\xe9', u'Selena Gomez', u'Massive Attack', u'Trina']","[  4.47034836e-08   1.19693573e+00   1.23101745e+00   1.23251697e+00
   1.25385073e+00]"
76,Fergie,Fergie,0.817206,200,"[u'Fergie', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']","[  2.58095683e-08   1.07970840e+00   1.09796922e+00   1.11257284e+00
   1.14387011e+00]"
77,Iggy Azalea,IGGYAZALEA,0.816537,200,"[u'Iggy Azalea', u'Selena Gomez', u'Massive Attack', u'Trina', u'Tame Impala']","[  4.71216092e-08   1.12290009e+00   1.15376775e+00   1.17605626e+00
   1.19215963e+00]"
78,Little Mix,LittleMixOffic,0.815626,200,"[u'Little Mix', u'Booka Shade', u'Labrinth', u'Selena Gomez', u'You Me At Six']",[ 0.          1.33513073  1.34139489  1.34284384  1.3462912 ]
79,Kelly Clarkson,kelly_clarkson,0.813799,200,"[u'Kelly Clarkson', u'Selena Gomez', u'Massive Attack', u'Maya Jane Coles', u'Big Daddy Weave']","[  4.34439770e-08   1.24258093e+00   1.26418754e+00   1.26591514e+00
   1.26671958e+00]"
80,Keith Urban,KeithUrban,0.812517,199,"[u'Keith Urban', u'Harry Connick, Jr.', u'Selena Gomez', u'Massive Attack', u'Chris Tomlin']",[ 0.          1.25698641  1.27697213  1.28653671  1.291835  ]
81,J. Cole,JColeNC,0.812512,197,"[u'J. Cole', u'Big Sean', u'You Me At Six', u'Tyler, The Creator', u'Selena Gomez']","[  4.21468485e-08   1.33171214e+00   1.33584622e+00   1.33613974e+00
   1.33703353e+00]"
82,Pablo Alboran,pabloalboran,0.811179,198,"[u'Pablo Alboran', u'Reik', u'No te va Gustar', u'Alejandro Sanz', u'Dani Mart\xedn']",[ 0.          1.10116607  1.13937854  1.14455302  1.15458393]
83,Alicia Keys,aliciakeys,0.81113,200,"[u'Alicia Keys', u'Selena Gomez', u'Massive Attack', u'Trina', u'Fergie']","[  4.94215606e-08   1.27748183e+00   1.29312222e+00   1.29908700e+00
   1.29936243e+00]"
84,The Beatles,thebeatles,0.810456,200,"[u'The Beatles', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']",[ 0.          1.11299545  1.11320477  1.15593809  1.15799209]
85,The 1975,the1975,0.810444,200,"[u'The 1975', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']","[  4.47034836e-08   1.08945933e+00   1.10250206e+00   1.13860940e+00
   1.14519284e+00]"
86,Major Lazer,majorlazer,0.809809,200,"[u'Major Lazer', u'Massive Attack', u'Selena Gomez', u'Nicki Minaj', u'Trina']","[  4.82852809e-08   1.33259728e+00   1.33267741e+00   1.33958843e+00
   1.34196449e+00]"
87,Conor Maynard,ConorMaynard,0.808266,200,"[u'Conor Maynard', u'Labrinth', u'Selena Gomez', u'Massive Attack', u'Trina']","[  5.37269007e-08   1.28055472e+00   1.30977785e+00   1.31701601e+00
   1.32494584e+00]"
88,Big Sean,BigSean,0.806991,200,"[u'Big Sean', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']",[ 0.          1.16401676  1.17471921  1.19487331  1.2091271 ]
89,Nicki Minaj,NICKIMINAJ,0.806101,200,"[u'Nicki Minaj', u'Meek Mill', u'Selena Gomez', u'Chris Brown', u'Trina']",[ 0.          1.19524743  1.23271098  1.23405275  1.23885884]
90,Jason Mraz,jason_mraz,0.806046,200,"[u'Jason Mraz', u'Selena Gomez', u'Travie McCoy', u'Massive Attack', u'Trina']","[  4.59284634e-08   1.11949791e+00   1.13217375e+00   1.13262963e+00
   1.15932657e+00]"
91,Mumford and Sons,MumfordAndSons,0.805063,160,"[u'Mumford and Sons', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']",[ 0.          1.04974539  1.06235356  1.10725471  1.10879263]
92,Malú,_MaluOficial_,0.804619,200,"[u'Mal\xfa', u'No te va Gustar', u'Noel Torres', u'Alejandro Sanz', u'Dani Mart\xedn']",[ 0.          0.95983691  0.97437968  0.98362094  1.01652478]
93,Swedish House Mafia,swedishousemfia,0.804454,198,"[u'Swedish House Mafia', u'Selena Gomez', u'Massive Attack', u'Maya Jane Coles', u'Miami Horror']",[ 0.          1.27835635  1.28626189  1.290514    1.29185264]
94,Alejandro Fernández,alexoficial,0.804034,200,"[u'Alejandro Fern\xe1ndez', u'Alejandro Sanz', u'Reik', u'No te va Gustar', u'Noel Torres']","[  6.05288029e-08   1.08297248e+00   1.09134678e+00   1.10534096e+00
   1.11154467e+00]"
95,Tom Odell,tompeterodell,0.803936,200,"[u'Tom Odell', u'Selena Gomez', u'Massive Attack', u'Big Daddy Weave', u'Tame Impala']","[  1.05367121e-08   1.24558988e+00   1.25506780e+00   1.25963641e+00
   1.26167051e+00]"
96,Jason Aldean,Jason_Aldean,0.803855,200,"[u'Jason Aldean', u'Selena Gomez', u'Massive Attack', u'Tame Impala', u'Trina']",[ 0.          1.21820154  1.22785078  1.2500371   1.25012073]
97,Guns N' Roses,gunsnroses,0.803601,200,"[u""Guns N' Roses"", u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']","[  3.33200094e-08   1.24247140e+00   1.24779040e+00   1.26142965e+00
   1.26751373e+00]"
98,Tinie Tempah,TinieTempah,0.802608,200,"[u'Tinie Tempah', u'Selena Gomez', u'Massive Attack', u'Trina', u'James Blake']","[  5.37269007e-08   1.27948443e+00   1.28825528e+00   1.29575392e+00
   1.29868862e+00]"
99,Skrillex,Skrillex,0.802574,200,"[u'Skrillex', u'Selena Gomez', u'Massive Attack', u'Trina', u'Maya Jane Coles']",[ 0.          1.26885668  1.27565469  1.2903873   1.29124502]
100,Dani Martín,_danielmartin_,0.802262,200,"[u'Dani Mart\xedn', u'Alejandro Sanz', u'Reik', u'La Oreja de Van Gogh', u'No te va Gustar']","[  5.77119491e-08   9.54796020e-01   9.86731757e-01   1.00783458e+00
   1.01384706e+00]"
101,Fleetwood Mac,fleetwoodmac,0.802116,118,"[u'Fleetwood Mac', u'Selena Gomez', u'Massive Attack', u'The Cranberries', u'Mumford and Sons']",[ 0.          1.31228266  1.31568172  1.31637694  1.31732748]
102,Franz Ferdinand,Franz_Ferdinand,0.802096,200,"[u'Franz Ferdinand', u'Goldfrapp', u'Selena Gomez', u'The Cranberries', u'James Blake']",[ 0.          1.29246362  1.30334613  1.30860188  1.30932188]
103,Radiohead,radiohead,0.800365,141,"[u'Radiohead', u'Massive Attack', u'Selena Gomez', u'Lou Reed', u'Trina']",[ 0.          1.20606185  1.20710199  1.23360715  1.2361391 ]
104,Sara Bareilles,SaraBareilles,0.800336,200,"[u'Sara Bareilles', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']",[ 0.          1.14787439  1.16974839  1.1842796   1.19451988]
105,Jack Johnson,jackjohnson,0.799776,195,"[u'Jack Johnson', u'Selena Gomez', u'Massive Attack', u'Rise Against', u'fun.']",[ 0.          1.25865497  1.26484365  1.26757584  1.272696  ]
106,Red Hot Chili Peppers,ChiliPeppers,0.799769,200,"[u'Red Hot Chili Peppers', u'Selena Gomez', u'Massive Attack', u'The Cranberries', u'Trina']","[  1.49011612e-08   1.26272537e+00   1.26373815e+00   1.28103706e+00
   1.28215199e+00]"
