,artist,screen_name,hotttnesss,num_tweets,recommendations,scores
0,Lady Gaga,ladygaga,0.988938,200,"[u'Lady Gaga', u'Adam Lambert', u'Jennifer Lopez', u'Tom Odell', u'Mariah Carey', u'Seal', u'Of Monsters and Men', u'R. Kelly', u'Evanescence', u'Marina and The Diamonds', u'Wiz Khalifa', u'A.R. Rahman', u'Christina Perri', u'Metronomy', u'Carrie Underwood', u'The Killers', u'Ms Mr', u'Robin Thicke', u'Mannheim Steamroller', u'Kaskade']","[ 0.          0.5118007   0.5747617   0.59300337  0.60639692  0.60892731
  0.61330505  0.62131633  0.62924617  0.63207988  0.63368892  0.63431496
  0.63493473  0.63673157  0.63783765  0.63819773  0.64010051  0.64049224
  0.64095506  0.64097813]"
1,Eminem,Eminem,0.95073,200,"[u'Eminem', u'Arcade Fire', u'Bon Iver', u'Vampire Weekend', u'Robbie Williams', u'Bob Marley', u'Cut Copy', u'Nine Inch Nails', u'The Shins', u'Mayday Parade', u'Rise Against', u'Akon', u'Rush', u'Kings of Leon', u'Marilyn Manson', u'Black Sabbath', u'Big Sean', u'The Black Keys', u'Swizz Beatz', u'Rihanna']","[ 0.          0.40111558  0.42500574  0.42963475  0.43152804  0.43202786
  0.4352169   0.4409351   0.44139924  0.4424516   0.44617984  0.44807543
  0.44907843  0.44939438  0.45271216  0.45361468  0.45391453  0.45631135
  0.46144541  0.4615562 ]"
2,Avicii,Avicii,0.932909,200,"[u'Avicii', u'Aloe Blacc', u'The Shins', u'David Guetta', u'Adam Lambert', u'Fedde Le Grand', u'Ne-Yo', u'Katie Melua', u'Booka Shade', u'Bon Iver', u'Maya Jane Coles', u'Lady Antebellum', u'Robbie Williams', u'Empire of the Sun', u'Nine Inch Nails', u'Rise Against', u'Meat Loaf', u'Joe Bonamassa', u'The Killers', u'Marina and The Diamonds']","[ 0.          0.35759073  0.55435887  0.55569895  0.56058232  0.56342233
  0.56619246  0.5681675   0.56973165  0.56988618  0.57254762  0.57848341
  0.57852183  0.58124998  0.58167126  0.58285495  0.58333213  0.58618231
  0.58726963  0.58839422]"
3,Lorde,lordemusic,0.926284,200,"[u'Lorde', u'Sky Ferreira', u'The Naked And Famous', u'Girls', u'Cher', u'Metronomy', u'Matt Maher', u'The Avett Brothers', u'Jennifer Lopez', u'The Head and the Heart', u'Mariah Carey', u'Marina and The Diamonds', u'Mikky Ekko', u'The Killers', u'Bliss n Eso', u'Elissa', u'Haim', u'The White Panda', u'Rizzle Kicks', u'Guy Sebastian']","[ 0.          0.4632968   0.47215299  0.47798449  0.52010149  0.520204
  0.52448962  0.53911204  0.54356431  0.54542388  0.55308964  0.55561484
  0.55675294  0.55746879  0.56115338  0.56208088  0.56281995  0.56573737
  0.56773159  0.56783903]"
4,One Direction,onedirection,0.915158,200,"[u'One Direction', u'Lynyrd Skynyrd', u'Olly Murs', u'Metallica', u'Phoenix', u'Blue', u'CHVRCHES', u'Jason Der\xfclo', u'Evanescence', u'Five Finger Death Punch', u'R. Kelly', u'Green Day', u'Tim McGraw', u'Duck Sauce', u'Fleetwood Mac', u'Kodaline', u'Jessie J', u'Foo Fighters', u'Rizzle Kicks', u'Franz Ferdinand']","[ 0.          0.67115241  0.68591575  0.68772829  0.69125618  0.69144308
  0.69592676  0.7002814   0.70059089  0.70129346  0.70318606  0.70442318
  0.70644867  0.70772556  0.70963998  0.70987284  0.71008059  0.71198531
  0.71200407  0.71204607]"
5,Imagine Dragons,Imaginedragons,0.914065,198,"[u'Imagine Dragons', u'Phillip Phillips', u'Ariana Grande', u'Justin Timberlake', u'Ciara', u'Macklemore', u'Prince Royce', u'The Band Perry', u'Bon Iver', u'Jennifer Lopez', u'Asking Alexandria', u'The Lumineers', u'Fall Out Boy', u'Lady Antebellum', u'Nine Inch Nails', u'Marc Anthony', u""Guns N' Roses"", u'Metronomy', u'Of Monsters and Men', u'Thomas Rhett']","[ 0.          0.466312    0.48032054  0.51444604  0.52279688  0.52434784
  0.52970755  0.55361286  0.55765282  0.56015158  0.56637422  0.56864164
  0.57115277  0.57704502  0.57965965  0.58013934  0.58292982  0.58826998
  0.58838115  0.59018316]"
6,Lana Del Rey,LanaDelRey,0.912053,200,"[u'Lana Del Rey', u'\u304d\u3083\u308a\u30fc\u3071\u307f\u3085\u3071\u307f\u3085', u'Meat Loaf', u'Bon Iver', u'Swizz Beatz', u'James Blake', u'Lykke Li', u'A.R. Rahman', u'fun.', u'Tegan and Sara', u'Marilyn Manson', u'Tame Impala', u'Robbie Williams', u'Lou Reed', u'The Shins', u'blink-182', u'Rise Against', u'Bob Marley', u'Marina and The Diamonds', u'Rush']","[ 0.          0.35782248  0.36510091  0.36624796  0.37206452  0.37471135
  0.37624549  0.38271364  0.38310299  0.38336459  0.38344548  0.38837096
  0.39152471  0.39248982  0.39399952  0.39406244  0.40074022  0.40105605
  0.40183876  0.40215952]"
7,Ellie Goulding,elliegoulding,0.90751,199,"[u'Ellie Goulding', u'Kacey Musgraves', u'John Newman', u'Tegan and Sara', u'Sara Bareilles', u'Bruno Mars', u'A.R. Rahman', u'OneRepublic', u'Lady Antebellum', u'\u304d\u3083\u308a\u30fc\u3071\u307f\u3085\u3071\u307f\u3085', u'The Kooks', u'The Strypes', u'Green Day', u'Nine Inch Nails', u'Empire of the Sun', u'Lana Del Rey', u'fun.', u'Metronomy', u'Bruce Springsteen', u'Rizzle Kicks']","[ 0.          0.32232798  0.41782794  0.46001803  0.46720915  0.49427178
  0.50157658  0.50708322  0.51317848  0.5194293   0.52214195  0.52289055
  0.52353874  0.52358366  0.52509855  0.52612905  0.527673    0.53128004
  0.53156214  0.53362518]"
8,Bruno Mars,BrunoMars,0.899437,200,"[u'Bruno Mars', u'Marina and The Diamonds', u'Meat Loaf', u'Ciara', u'Hanni El Khatib', u'Rihanna', u'A.R. Rahman', u'Big Sean', u'Mac Miller', u'The Kooks', u'30 Seconds to Mars', u'tobyMac', u'Wiz Khalifa', u'Ne-Yo', u'Bliss n Eso', u'The Lumineers', u'Katie Melua', u'Robbie Williams', u'Ellie Goulding', u'Tom Odell']","[ 0.          0.46009513  0.46081883  0.47262959  0.47340997  0.47610529
  0.47623445  0.47783204  0.48353848  0.48401379  0.48407404  0.48483726
  0.48664613  0.48706158  0.48840548  0.48887757  0.49198948  0.49285343
  0.49427178  0.49821862]"
9,Robin Thicke,robinthicke,0.897917,200,"[u'Robin Thicke', u'Maroon 5', u'Jennifer Lopez', u'The Avett Brothers', u'Adam Lambert', u'The Lumineers', u'Train', u'Thomas Rhett', u'Bliss n Eso', u'Bob Marley', u'Empire of the Sun', u'Green Day', u'Bon Iver', u'Kings of Leon', u'Marilyn Manson', u'Rush', u'Avril Lavigne', u'Third Day', u'Robbie Williams', u'fun.']","[ 0.          0.40053629  0.4151819   0.41546218  0.41627614  0.41670145
  0.4198744   0.42169087  0.42341178  0.42409778  0.42452794  0.42551323
  0.42559278  0.42891566  0.43226259  0.43327059  0.43510003  0.43575434
  0.4372645   0.43846569]"
