,artist,screen_name,hotttnesss,num_tweets,recommendations,scores
235,Booka Shade,BookaShade,0.760102,198,"[u'Booka Shade', u'Selena Gomez', u'Maya Jane Coles', u'Massive Attack', u'Boy & Bear']",[ 0.          0.91702667  0.91892595  0.91918647  0.92230624]
236,Andrea Bocelli,bocelliandrea,0.759782,200,"[u'Andrea Bocelli', u'Massive Attack', u'Selena Gomez', u'Lou Reed', u'Trina']","[  5.16191366e-08   1.17930242e+00   1.18138229e+00   1.20390728e+00
   1.20395363e+00]"
237,A.R. Rahman,arrahman,0.759491,200,"[u'A.R. Rahman', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Mumford and Sons']",[ 0.          0.98545955  0.99640939  1.01714606  1.0191625 ]
238,Eli Young Band,EliYoungBand,0.759131,199,"[u'Eli Young Band', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Eric Paslay']","[  2.10734243e-08   1.08225875e+00   1.09747316e+00   1.09850512e+00
   1.11551660e+00]"
239,Train,train,0.758638,200,"[u'Train', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Selena Gomez']",[ 0.          0.96862466  0.98024998  0.99515229  1.00117436]
240,Joyce Jonathan,joycejonathan,0.758248,200,"[u'Joyce Jonathan', u'Emmanuel Moire', u'Vitaa', u'Booba', u'No te va Gustar']",[ 0.          0.89880004  1.1492561   1.20582518  1.23346783]
241,Gerardo Ortiz,gerardoortiznet,0.758131,200,"[u'Gerardo Ortiz', u'Noel Torres', u'No te va Gustar', u'Espinoza Paz', u'Alejandro Sanz']",[ 0.          1.11816109  1.14434379  1.15612951  1.15855414]
242,B.o.B,bobatl,0.758025,200,"[u'B.o.B', u'Selena Gomez', u'Massive Attack', u'Lykke Li', u'Big Daddy Weave']",[ 0.          1.18035988  1.19041546  1.20547812  1.20831183]
243,Gorillaz,gorillazband,0.757799,199,"[u'Gorillaz', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Mumford and Sons']","[  1.49011612e-08   1.18093190e+00   1.18227580e+00   1.18339210e+00
   1.19582900e+00]"
244,K. Michelle,kmichelle,0.757628,199,"[u'K. Michelle', u'Maya Jane Coles', u'Big Daddy Weave', u'Selena Gomez', u'Sara Bareilles']",[ 0.          1.25024043  1.25131866  1.25616306  1.25866504]
245,Thalia,thalia,0.757595,198,"[u'Thalia', u'No te va Gustar', u'Noel Torres', u'Reik', u'Alejandro Sanz']","[  4.21468485e-08   1.16912115e+00   1.18330947e+00   1.18472542e+00
   1.19121977e+00]"
246,Michel Teló,micheltelo,0.757261,200,"[u'Michel Tel\xf3', u'Pitty', u'Munhoz & Mariano', u'Ivete Sangalo', u'Jo\xe3o Neto e Frederico']",[ 0.          1.1373264   1.16141924  1.16849066  1.18847076]
247,Backstreet Boys,backstreetboys,0.757223,198,"[u'Backstreet Boys', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Ariana Grande']",[ 0.          1.18523321  1.19169664  1.1949789   1.20142229]
248,Grouplove,GROUPLOVE,0.756755,200,"[u'Grouplove', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Meat Loaf']",[ 0.          1.15090773  1.16151518  1.16389716  1.17789958]
249,Alter Bridge,alterbridge,0.756586,199,"[u'Alter Bridge', u'Ariana Grande', u'Jake Bugg', u'Big Daddy Weave', u'Maya Jane Coles']",[ 0.          1.30868266  1.30982052  1.31164808  1.31174803]
250,Danny Brown,XDannyXBrownX,0.756213,199,"[u'Danny Brown', u'Maya Jane Coles', u'Selena Gomez', u'Mumford and Sons', u'Big Daddy Weave']","[  2.58095683e-08   1.23944640e+00   1.24022306e+00   1.24125578e+00
   1.24222314e+00]"
251,Tito El Bambino,Tbambino,0.755841,200,"[u'Tito El Bambino', u'Alejandro Sanz', u'Reik', u'Espinoza Paz', u'No te va Gustar']","[  7.74287048e-08   9.56382966e-01   9.87033217e-01   9.91809429e-01
   1.00490863e+00]"
252,Jesse & Joy,jesseyjoy,0.755811,200,"[u'Jesse & Joy', u'Reik', u'No te va Gustar', u'Alejandro Sanz', u'La Oreja de Van Gogh']","[  4.71216092e-08   1.10145766e+00   1.11109269e+00   1.14931762e+00
   1.15011246e+00]"
253,Motel,motelmx,0.755632,200,"[u'Motel', u'Reik', u'Alejandro Sanz', u'No te va Gustar', u'Marco Antonio Sol\xeds']","[  5.05322962e-08   1.09752470e+00   1.10979834e+00   1.11814756e+00
   1.12559908e+00]"
